Country,C1,C2,C3,C4,C5,C6,C7,C8,C9
Belgium,1.7,15.8,581.6,5.9,51,53.5,82.84,18.1,13.3
Bulgaria,11.6,10,613.5,9.9,187,31.8,61.84,16.3,25
Czechia,3,14.5,616.1,5.8,82,33.6,81.2,24.7,11.7
Denmark,1.7,18.3,1052.3,3.7,29,48.3,96.8,18.6,8.4
Germany,1.9,25.1,564.8,3.9,54,67.1,95.97,15.7,14.1
Estonia,3.3,10.4,1540.5,5.4,10,27.9,83,20.2,9.2
Ireland,1,7.7,961.3,3.8,10,40.7,61.15,16.6,9.7
Greece,6.3,19.9,627.7,7.6,113,17.2,93.4,18.1,11.8
Spain,1.7,16.2,572.9,3.9,38,33.9,86.62,18.4,10.3
France,2.7,17.7,835.2,5.2,37,39.7,80.46,16.2,14.8
Croatia,7.1,8.5,670.7,7.4,123,21,36.9,15,3
Italy,7.6,16.2,471.5,5.4,82,45.9,59.6,18,14.7
Cyprus,1.3,15.6,977.2,5.4,64,16.1,29.8,18.6,9.8
Latvia,14.6,13.3,1297.2,8.1,63,25.2,72.17,18.5,10
Lithuania,8.6,13.4,1053.1,6.6,72,48,73.53,10.1,3.4
Luxembourg,2.1,19.7,511.7,5.5,30,49.2,96.9,16.9,12.2
Hungary,16.9,12.2,704.3,6.2,115,34.7,78.1,30.8,9.7
Malta,1.6,26.2,190.6,5.1,33,12.7,0,17.4,10.4
Netherlands,1.4,24.9,471.6,3.1,39,53.5,99.45,14,16.9
Austria,4.2,17.3,703.6,4.9,45,57.6,99.75,22,12.4
Poland,9.4,13,623.9,8,109,34.8,73.4,20.7,5.6
Portugal,4.9,23.1,621.2,5.5,28,30.9,55.8,9.6,7.8
Romania,19.8,20.3,364.8,9.7,110,13.4,43.8,21.7,14.1
Slovenia,4.5,13.4,609.2,6.3,71,55.5,63.22,13.7,8.5
Slovakia,4.3,12.1,536.2,5.1,82,23,63.6,25.2,6.9
Finland,0.7,12,2458.7,4.7,4,42.1,85,17.5,6.5
Sweden,2.7,17.1,2343.8,2.7,7,48.4,95,19.5,12.7
