Country,C1,C2,C3,C4,C5,C6,C7,C8,C9
Belgium,2.3,15.6,581.6,5.4,50,53.9,83.33,18,12.4
Bulgaria,10.6,9.8,613.5,9.6,185,34.6,63.19,15.2,23.6
Czechia,2.1,13.6,616.1,5.4,88,32.1,82.3,25.3,9.3
Denmark,2.7,18.8,1052.3,3,24,47.6,97.3,18.5,7.8
Germany,1.8,26.1,564.8,3.8,55,67.2,96.09,16,14.2
Estonia,3.3,8.2,1540.5,3.6,5,28.2,83,19.8,7.3
Ireland,0.7,9,961.3,3.2,6,40.4,61.56,17.4,9.7
Greece,6,20.1,627.7,6.8,192,18.9,94.8,17.5,13.8
Spain,1,15.2,572.9,3.9,43,36.1,87.19,14.8,8.7
France,2.1,16.8,835.2,5.1,34,40.2,80.43,16.4,13.9
Croatia,6.5,8.6,670.7,8,113,23.6,36.9,15.7,3
Italy,5.5,12.5,471.5,5.6,90,47.8,59.6,17.3,12.5
Cyprus,0.9,16.9,977.2,6.2,72,16,29.8,19,12.5
Latvia,15.2,14.1,1297.2,7,46,24.8,77.14,17.3,8
Lithuania,8.1,13.2,1053.1,6.8,53,48.1,73.78,8.9,8.2
Luxembourg,2.3,21.6,511.7,4.2,25,48.9,97,17.1,12
Hungary,15.9,11,704.3,6.4,129,35,79.12,30,7.2
Malta,1.4,24.9,190.6,4.1,37,11.5,6.7,17.5,10
Netherlands,1,25.6,471.6,3.1,39,54.6,99.5,14.3,15
Austria,4.4,17.9,703.6,4.7,48,57.8,99.75,22,10.9
Poland,9.8,12.4,623.9,7.5,118,33.8,73.5,20.3,5.4
Portugal,4,23.5,621.2,5.8,30,29.1,55.8,10.4,7.9
Romania,17.2,19.3,364.8,10,120,14,46.5,22.2,11.3
Slovenia,4.4,13.3,609.2,5,75,57.8,67.61,13.5,8
Slovakia,5.2,12.8,536.2,5.1,93,29.8,65,25.6,6.2
Finland,0.7,12.5,2458.7,4.3,2,40.5,85,15.8,6.2
Sweden,2.5,16.9,2343.8,2.5,4,46.8,95,19.6,13
